Cuentas nacionales > Oferta y utilización total de bienes y servicios, base 2013 > Series Originales > A precios constantes > Valores absolutos > Consumo privado por origen de los bienes > Importado
Unidad de medida:Millones de pesos a precios de 2013.,
Periodicidad: Trimestral,
Periodo,Total 
1993/01,269090.923
1993/02,281025.718
1993/03,289416.455
1993/04,336609.711
1994/01,311665.396
1994/02,343905.205
1994/03,356332.265
1994/04,436272.303
1995/01,195427.787
1995/02,180453.246
1995/03,186613.936
1995/04,201742.799
1996/01,198981.379
1996/02,184888.517
1996/03,219134.757
1996/04,317623.979
1997/01,232406.392
1997/02,284794.19
1997/03,303899.982
1997/04,401639.552
1998/01,344217.382
1998/02,355459.356
1998/03,352230.188
1998/04,379357.502
1999/01,399624.327
1999/02,396059.565
1999/03,374794.745
1999/04,436088.239
2000/01,423668.657
2000/02,509302.02
2000/03,538670.805
2000/04,695054.126
2001/01,585748.579
2001/02,584870.797
2001/03,589808.459
2001/04,711973.484
2002/01,570280.028
2002/02,670030.069
2002/03,643952.985
2002/04,739710.998
2003/01,666186.169
2003/02,662806.418
2003/03,687945.172
2003/04,799242.813
2004/01,659161.02
2004/02,728599.897
2004/03,776263.035
2004/04,920605.508
2005/01,748987.979
2005/02,830831.63
2005/03,861660.269
2005/04,981503.497
2006/01,867926.804
2006/02,878983.89
2006/03,949447.353
2006/04,1103165.866
2007/01,912333.018
2007/02,930965.38
2007/03,980720.778
2007/04,1108092.128
2008/01,952192.429
2008/02,944168.393
2008/03,1013051.426
2008/04,987094.364
2009/01,729625.903
2009/02,723707.292
2009/03,832696.069
2009/04,948188.787
2010/01,857296.522
2010/02,841400.809
2010/03,921479.548
2010/04,1015854.881
2011/01,873407.104
2011/02,894116.159
2011/03,1005892.978
2011/04,1053706.095
2012/01,945282.16
2012/02,933656.904
2012/03,1043829.53
2012/04,1162918.614
2013/01,1013992.28
2013/02,1092993.395
2013/03,1174823.664
2013/04,1237126.932
2014/01,1045288.728
2014/02,1119191.289
2014/03,1216888.169
2014/04,1290414.65
2015/01,1086967.134
2015/02,1192117.355
2015/03,1298348.868
2015/04,1382835.806
2016/01,1146957.83
2016/02,1180746.664
2016/03,1298466.973
2016/04,1305943.401
2017/01,1202131.924
2017/02,1276734.325
2017/03,1366648.492
2017/04,1405819.567
2018/01,1251845.273
2018/02,1316573.72
2018/03,1406205.037
2018/04,1445691.673
2019/01,1279807.653
2019/02,1289867.075
2019/03,1474103.093
2019/04,1512772.467
2020/01,1255629.167
2020/02,888047.908
2020/03,1134205.002
,
Cifras preliminares: p/ A partir de 2020/03Cifras revisadas: r/ A partir de 2018/01,
"Fuente: INEGI. Sistema de Cuentas Nacionales de México.""

Fecha de consulta: 30/01/2021 18:08:22",
